State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.65932	1.63033	1.75351	1.84046	1.86945	1.92017	1.97814	2.05060	1.96364	1.83322	1.89843	2.00712	2.23899	2.48535	2.34768	2.34768	2.28246	2.19551	2.09407	2.18827	2.15928
2	2.48090	2.30558	2.21791	2.23544	2.28804	2.28804	2.52474	2.84910	2.98059	3.32248	3.29618	3.26988	3.01566	2.94553	3.11209	3.12962	3.41891	3.50658	3.23482	3.07702	3.19975
3	4.04456	4.02658	3.99962	3.91872	3.80188	3.56820	3.44237	3.14577	3.06487	2.76827	2.93904	3.10083	3.44237	3.51427	3.40641	3.25362	3.08285	3.18172	3.17273	3.28058	3.39743
4	6.02377	5.91497	5.50942	5.12367	5.05443	5.01486	4.73791	4.68845	4.44117	4.28291	3.98617	3.65976	3.63009	3.59052	3.67954	3.75867	3.94661	3.83780	3.82791	3.84769	3.74878
5	2.52173	2.48991	2.44218	2.46604	2.33876	2.34672	2.32285	2.41831	2.34672	2.15580	2.29899	2.25921	2.22739	2.33081	2.41831	2.45809	2.28308	2.31490	2.38649	2.41831	2.31490
6	1.28298	1.36317	1.33644	1.23844	1.15825	1.23844	1.10479	1.42554	1.52354	1.51463	1.55027	1.65719	1.49681	1.43445	1.42554	1.54136	1.45227	1.47900	1.66610	1.63937	1.55027
7	1.31919	1.33229	1.30422	1.30048	1.31919	1.31919	1.40152	1.37720	1.42585	1.42398	1.46140	1.56806	1.61671	1.67659	1.75892	1.77015	1.82067	1.76827	1.82815	1.78324	1.88055
8	2.98671	3.06396	3.11545	3.17982	3.06396	3.13476	3.12833	3.10258	2.96740	3.05108	2.87729	2.72280	2.57475	2.45245	2.42027	2.39452	2.27866	2.30440	2.29153	2.33659	2.18854
9	0.68547	0.65750	0.64490	0.64071	0.64490	0.63371	0.63231	0.59734	0.59035	0.56796	0.56656	0.55817	0.54698	0.52180	0.52040	0.52600	0.55397	0.55118	0.54418	0.54278	0.57356
10	1.84151	1.85631	1.87450	1.89022	1.91025	1.91765	1.93491	1.93892	1.96235	2.02122	2.07394	2.11555	2.16919	2.20710	2.24502	2.27985	2.30543	2.32886	2.33657	2.34489	2.33503
11	0.45463	0.45451	0.45371	0.45457	0.45474	0.45577	0.45697	0.45834	0.46200	0.46669	0.47189	0.47509	0.47864	0.48241	0.48801	0.49196	0.49585	0.50105	0.50397	0.50894	0.51351
12	1.07950	1.07698	1.07474	1.07082	1.07614	1.07698	1.07278	1.07222	1.06858	1.07362	1.07894	1.08201	1.08453	1.08873	1.08705	1.08649	1.09293	1.09405	1.09796	1.09852	1.10384
13	1.44944	1.45343	1.47341	1.47841	1.48640	1.48740	1.47741	1.47241	1.45343	1.43545	1.38751	1.36253	1.32957	1.29860	1.26863	1.26464	1.23267	1.22069	1.22468	1.21569	1.20470
14	1.99186	1.99797	2.00408	2.03463	1.97353	1.94298	1.91854	1.93687	1.88188	1.83911	1.71080	1.68025	1.64359	1.65581	1.61304	1.60693	1.61304	1.68025	1.68636	1.66192	1.64970
15	5.25235	5.24351	5.24744	5.22289	5.17868	5.14823	5.08438	5.03723	4.96847	4.76317	4.54608	4.34667	4.13352	3.93116	3.71211	3.52351	3.36241	3.21605	3.11487	3.02155	2.92823
