State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.49400	2.62830	2.69224	2.78817	2.91607	2.92885	3.03757	2.71782	1.76499	1.25340	1.17666	1.13189	1.09992	1.01679	1.08713	1.11910	1.13189	1.29816	1.38129	1.27898	1.42606
2	4.42546	4.84325	5.61693	7.04050	9.68650	13.02107	17.36916	23.00156	24.59535	15.41948	6.69235	6.67687	7.52792	8.35576	8.12366	6.75424	5.52409	4.78135	3.75236	3.46609	3.15662
3	4.54519	5.04492	6.14750	7.83708	10.71649	15.60276	24.99456	38.55873	55.89865	72.65953	84.79589	84.89901	66.63894	44.32548	27.06488	15.90419	9.76462	6.66310	4.80695	3.52986	2.64144
4	7.97004	10.11750	12.69271	15.96627	19.76361	22.93242	23.16812	20.61037	16.12340	10.51033	9.60246	21.54443	39.17804	57.93775	68.29095	67.33070	57.14337	43.64755	32.16824	23.68316	17.64234
5	4.94254	6.34667	7.80697	10.84691	14.03429	17.08827	20.23353	21.61660	20.31777	22.26952	21.63064	12.16679	11.57004	12.15977	13.87983	15.43842	14.60296	12.13169	9.54107	7.70868	5.98862
6	3.04305	3.58560	3.96304	4.64713	5.15037	6.07823	6.44780	5.17396	3.03518	2.39040	2.19382	1.96579	1.95793	2.18596	2.47690	3.41261	3.34185	3.18458	3.07450	2.76783	2.41399
7	2.91640	3.10466	3.25329	3.22687	3.22356	3.09145	2.50850	1.75215	1.32774	1.23031	1.19563	1.13452	1.12627	1.19397	1.27324	1.32444	1.57545	1.75711	1.94702	1.92060	1.87931
8	9.39047	9.43024	8.86783	7.75438	5.83993	3.86299	2.44845	1.76675	1.51111	1.44294	1.44294	1.49407	1.52815	1.99398	3.63007	8.47017	16.66198	23.86532	28.52931	30.19380	29.54050
9	1.23215	1.00498	0.83337	0.68028	0.58151	0.53829	0.48521	0.46545	0.45434	0.45557	0.44940	0.44323	0.45187	0.46175	0.48891	0.51113	0.59509	0.94325	1.46179	2.08034	2.77543
10	1.38745	1.32162	1.24844	1.15839	1.03324	0.90674	0.78432	0.67577	0.60721	0.58055	0.56614	0.56804	0.58763	0.61075	0.63170	0.67849	0.73671	0.83492	0.92687	1.03052	1.13390
11	0.56415	0.54902	0.53116	0.50421	0.46975	0.42858	0.38201	0.34109	0.31778	0.30723	0.30375	0.30178	0.30582	0.31222	0.32211	0.33130	0.34371	0.35577	0.36631	0.37434	0.38347
12	1.36881	1.37177	1.37350	1.35695	1.33424	1.28114	1.21496	1.13224	1.07124	1.05346	1.03914	1.03469	1.04753	1.06284	1.08927	1.11075	1.12730	1.14335	1.15619	1.16582	1.15940
13	1.24658	1.25099	1.25804	1.26421	1.27127	1.28449	1.30124	1.31799	1.32769	1.34797	1.36383	1.39822	1.43084	1.46346	1.47492	1.48021	1.48902	1.49343	1.47580	1.46698	1.44582
14	1.24025	1.32113	1.41280	1.46133	1.53683	1.67164	1.65546	1.69860	1.66625	1.73635	1.73635	1.83880	1.85498	1.82802	1.67703	1.55840	1.52604	1.49908	1.49369	1.45055	1.40741
15	0.85046	0.78110	0.72822	0.68054	0.64066	0.60078	0.58778	0.57217	0.56784	0.57911	0.59471	0.62072	0.63026	0.64759	0.65106	0.67013	0.69874	0.74556	0.84785	0.97529	1.13567
