State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.48256	0.49553	1.41873	1.15928	1.89863	1.17669	1.85285	0.32256
2	0.39886	6.35464	2.29515	1.06491	3.29653	6.69255	8.63848	0.18885
3	0.38904	84.46840	10.94180	1.47132	2.93935	84.79057	24.69022	0.22605
4	0.35351	19.18046	5.33508	2.11900	3.98659	9.60276	23.93116	0.14569
5	0.43955	21.32329	3.22427	1.06248	2.29923	21.63130	13.08922	0.52582
6	0.39246	0.80766	1.21671	1.07801	1.54152	2.19389	3.46106	0.43297
7	1.86866	0.61496	1.08603	1.04137	1.46155	1.19566	2.04499	0.43821
8	0.54322	0.84418	2.60457	2.19949	2.87759	1.44298	8.09526	0.15322
9	2.49951	0.31595	0.74344	2.24624	0.56662	0.44942	0.80647	0.20185
10	11.34331	0.64727	1.94548	1.81198	2.07415	0.56615	0.90724	0.35825
11	61.16046	0.19437	0.40731	0.71328	0.47194	0.30376	0.41772	1.19210
12	12.49656	1.21979	1.00844	0.94456	1.07905	1.03917	1.25996	1.26147
13	3.50039	1.42227	1.31952	1.05275	1.38765	1.36388	1.46497	1.11915
14	0.57228	3.55084	1.76349	0.71257	1.71098	1.73640	1.46352	0.82790
15	3.55963	1.12759	5.57655	2.24007	4.54459	0.59473	0.75811	0.19473
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
