State (Emission order)	H3k04me1	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H3k79me2	H4k20me1	H3k36me3	H3k09me3	H3k27me3
1	0.8152125684707526	0.4662210297655461	0.028428166137236824	0.19991659535939812	0.8763729943936631	0.09212740417423892	0.05080214000573871	0.061908985750069145	0.015504139080582008	0.0028827732976826745
2	0.9404409261387817	0.9990985425534751	0.7768108063983267	0.8207866346306308	0.9383074657649279	0.12626137041292615	0.062393811098131274	0.020509038515081623	0.009047305905758302	0.00816018238949103
3	0.03140201634917124	0.8105947770233387	0.9739929003042068	0.9632488702233312	0.9463359612248334	0.14257078874561646	0.01417356313871723	1.352470092900969E-5	0.002819153511884499	0.002418561051347338
4	0.40940608892617936	0.9991268704254547	0.9955497435918285	0.9219809258093751	0.7555147528431465	0.9720857379984228	0.2185010609874168	0.10677981159548473	0.01776136756303323	0.014032875568183561
5	0.2371689652030868	0.7611206736120631	0.4011438198238518	0.1615539966295583	0.04393490397053545	0.04358854813426441	0.04256681832594178	0.004472116299937455	0.015525213694715843	0.05321690215514585
6	0.8579748058972493	0.9195929603581827	0.16636789639516647	0.0630429764919408	0.22763197421762096	0.03064388196794284	0.07194321837824745	0.003443873687843854	0.003866579356592679	0.004180805977719347
7	0.4727911224055531	0.05021686223041552	0.0033247221430269995	0.022227068980457253	0.028485571473086783	0.024913839704681265	0.05334844218227277	0.007142743159847394	0.006221191421399824	0.0035429587945650137
8	0.5490423917142614	0.6940898799032574	0.2681524472310317	0.0881788648212286	0.10854711790297342	0.8553343968977942	0.2317335586355361	0.27912551979236905	0.013118618380013887	0.004750324113348699
9	0.0399008139283202	0.007991324033464685	9.781954507374789E-4	0.008844572454791238	0.0033341455712689633	0.6173255051575246	0.13533033512447834	0.13186607463322764	0.0072056230451220515	0.0010558066771872885
10	0.0019053708458458124	5.284232412885062E-4	5.118003514314239E-4	0.00638237115502014	8.421088095679965E-4	0.03129611734698108	0.045235396100245094	0.026932451600248805	0.0021613349031196208	6.296283306917306E-4
11	4.345198358070906E-4	2.555875786956644E-4	6.624718390568017E-5	5.172754018212116E-4	3.6941748695054654E-5	0.0021142725682087825	0.0168164407888209	1.97662106431011E-4	0.002581867091085904	3.861283058178297E-4
12	0.001989630161378488	0.0015323342070213894	9.316225594589562E-4	0.00779636900732597	5.285534801165221E-4	0.007988256829667806	0.06533426070231929	1.625555637172354E-4	0.006909388614118595	0.05094409011553215
13	0.002709223123783733	0.0025085173146973147	0.001968255760643911	0.011112127872864357	6.415334093426454E-4	0.009068510496096674	0.08266704015440683	2.0017105061738847E-4	0.017328770689453515	0.3969717576588207
14	0.004321713306848274	0.0027049789282635314	0.012939008692728479	0.018786277609858158	0.004183549240352857	0.03329882905814967	0.10083391104191528	0.013683145395928704	0.3411233730638816	0.024294239612451418
15	0.009080164368622246	0.001615509744746973	0.002133251258746501	0.015565745515228865	0.0045306774712145295	0.06290514160245098	0.08993483022661976	0.4436602410961422	0.008668775453794282	0.0028194633445306734
