15	10	E	-9153633.322695628	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	1.54153E-319
probinit	8	0.0
probinit	9	0.0
probinit	10	1.5789196455889768E-180
probinit	11	1.0
probinit	12	2.9520179E-316
probinit	13	0.0
probinit	14	3.8819647362467036E-265
probinit	15	0.0
transitionprobs	1	1	0.6946569928047106
transitionprobs	1	2	0.09750863062928802
transitionprobs	1	3	1.1337644871013222E-4
transitionprobs	1	4	6.7134107899743E-5
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0012653760174052046
transitionprobs	1	7	0.16947337103711554
transitionprobs	1	8	0.006902081503857587
transitionprobs	1	9	0.003184297051353839
transitionprobs	1	10	0.014931032688030981
transitionprobs	1	11	1.3884827110074549E-4
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0012760899620469514
transitionprobs	1	15	0.01048276947848067
transitionprobs	2	1	0.11811978808415269
transitionprobs	2	2	0.666271371642081
transitionprobs	2	3	0.0656986217607429
transitionprobs	2	4	0.005066247157403241
transitionprobs	2	5	0.03523841815736527
transitionprobs	2	6	0.08129814089298831
transitionprobs	2	7	0.018577915319525153
transitionprobs	2	8	0.004664928768867582
transitionprobs	2	9	0.0
transitionprobs	2	10	0.003406206715187568
transitionprobs	2	11	0.0015632075021339016
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	9.515399955256264E-5
transitionprobs	3	1	5.428892668730176E-4
transitionprobs	3	2	0.06180851589688899
transitionprobs	3	3	0.739914824846253
transitionprobs	3	4	0.09516700251765489
transitionprobs	3	5	0.10007332038181245
transitionprobs	3	6	0.0
transitionprobs	3	7	9.896560051654171E-4
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0013117942812553517
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
